task,seed,measure,grokked,grok_step,cross_step,lead_time,cross_frac,sp_conc,sp_future,m0,m_final
add,0,weight_l2,1,10100.0,800.0,9300.0,0.07920792079207921,-0.8992844654968517,-0.866528760404214,114.22900683915488,35.51817314420818
add,0,w_eff_rank,1,10100.0,700.0,9400.0,0.06930693069306931,-0.9009200717242698,-0.8917711441625078,63.50978273815579,8.087565279669233
add,0,act_eff_rank,1,10100.0,8400.0,1700.0,0.8316831683168316,-0.8914941733770664,-0.8663596440787116,25.471759796142578,9.597481409708658
add,0,act_sparsity,1,10100.0,4600.0,5500.0,0.45544554455445546,-0.7693814149809941,-0.7084181182704248,0.5055961608886719,0.438595453898112
add,0,act_kurtosis,1,10100.0,700.0,9400.0,0.06930693069306931,-0.12400587491787408,0.04476671163665237,2.154367446899414,2.7390302419662476
add,0,gzip_bytes,1,10100.0,6600.0,3500.0,0.6534653465346535,-0.9059456060148269,-0.8806494595754608,220941.0,166543.08333333334
add,1,weight_l2,1,8200.0,1000.0,7200.0,0.12195121951219512,-0.916184830504995,-0.9148554591156451,114.38897563371556,32.54921400002618
add,1,w_eff_rank,1,8200.0,800.0,7400.0,0.0975609756097561,-0.9523976048304374,-0.9544481587813006,63.783409648471405,7.634081780910492
add,1,act_eff_rank,1,8200.0,5600.0,2600.0,0.6829268292682927,-0.8895008704381948,-0.9131857559599547,25.737937927246094,9.839479684829712
add,1,act_sparsity,1,8200.0,4600.0,3600.0,0.5609756097560976,-0.8164274936234263,-0.7790529357861479,0.49566650390625,0.41689109802246094
add,1,act_kurtosis,1,8200.0,200.0,8000.0,0.024390243902439025,-0.4403755450237569,-0.21586097006247643,2.957487106323242,1.0742048025131226
add,1,gzip_bytes,1,8200.0,6800.0,1400.0,0.8292682926829268,-0.950839537094515,-0.9427929759690293,220992.0,166394.0
add,2,weight_l2,1,7400.0,1000.0,6400.0,0.13513513513513514,-0.9216894201481722,-0.8933889551948831,113.35300994015675,36.1591643459828
add,2,w_eff_rank,1,7400.0,800.0,6600.0,0.10810810810810811,-0.9330469165673143,-0.9108664008390418,63.74719508488973,8.480552272664177
add,2,act_eff_rank,1,7400.0,5800.0,1600.0,0.7837837837837838,-0.9216808870930113,-0.8916953596051064,24.398784637451172,12.704923152923584
add,2,act_sparsity,1,7400.0,4000.0,3400.0,0.5405405405405406,-0.7335526199609104,-0.6427483289663589,0.4948883056640625,0.4319162368774414
add,2,act_kurtosis,1,7400.0,11600.0,-4200.0,1.5675675675675675,-0.48406315316686277,-0.22280574905232958,2.234248161315918,0.6607910394668579
add,2,gzip_bytes,1,7400.0,6000.0,1400.0,0.8108108108108109,-0.9123115925263562,-0.8846559929020208,221051.0,166931.0
add,3,weight_l2,1,5200.0,800.0,4400.0,0.15384615384615385,-0.8215028307542043,-0.7951522203415441,113.92082368163912,35.06722497360541
add,3,w_eff_rank,1,5200.0,600.0,4600.0,0.11538461538461539,-0.7961736396936748,-0.8032615358138123,63.76531465848287,8.618481000264486
add,3,act_eff_rank,1,5200.0,5800.0,-600.0,1.1153846153846154,-0.8101068745696562,-0.7758228417341464,26.3208065032959,8.914654016494751
add,3,act_sparsity,1,5200.0,200.0,5000.0,0.038461538461538464,-0.40473518755205384,-0.31810363123427526,0.5201492309570312,0.4346733093261719
add,3,act_kurtosis,1,5200.0,200.0,5000.0,0.038461538461538464,-0.39975654104755737,-0.1674460850737901,1.1951799392700195,1.379247784614563
add,3,gzip_bytes,1,5200.0,4800.0,400.0,0.9230769230769231,-0.8528831263228258,-0.7753360453441567,220993.0,166702.25
add,4,weight_l2,1,5600.0,800.0,4800.0,0.14285714285714285,-0.8503927285720851,-0.8016434691784952,113.40706592069469,35.73983912506033
add,4,w_eff_rank,1,5600.0,600.0,5000.0,0.10714285714285714,-0.8013735911258062,-0.7963339942508681,63.6970042652554,7.8091454274124565
add,4,act_eff_rank,1,5600.0,4800.0,800.0,0.8571428571428571,-0.6967862007039886,-0.7989762681585135,25.0264892578125,10.5735342502594
add,4,act_sparsity,1,5600.0,200.0,5400.0,0.03571428571428571,-0.7291168206170293,-0.6636594388410347,0.5114669799804688,0.4341611862182617
add,4,act_kurtosis,1,5600.0,8800.0,-3200.0,1.5714285714285714,-0.5985404469448014,-0.36583030064719896,2.2954659461975098,0.7101424932479858
add,4,gzip_bytes,1,5600.0,5600.0,0.0,1.0,-0.8233573301682393,-0.7448470437202883,220878.0,163245.5
mul,0,weight_l2,1,6600.0,800.0,5800.0,0.12121212121212122,-0.9729947804409453,-0.9697236456236845,114.23007525292215,34.241750316745055
mul,0,w_eff_rank,1,6600.0,600.0,6000.0,0.09090909090909091,-0.9805062874145817,-0.9751444414586897,63.51386798752679,8.229633260656286
mul,0,act_eff_rank,1,6600.0,7400.0,-800.0,1.121212121212121,-0.935776748712815,-0.909086371283278,25.45146942138672,9.053900082906088
mul,0,act_sparsity,1,6600.0,200.0,6400.0,0.030303030303030304,-0.6455440018614084,-0.7232035001503685,0.5040168762207031,0.4441235860188802
mul,0,act_kurtosis,1,6600.0,1200.0,5400.0,0.18181818181818182,0.31996049055215386,0.42713980204549373,2.076976776123047,4.122713406880696
mul,0,gzip_bytes,1,6600.0,1400.0,5200.0,0.21212121212121213,-0.8894650727255414,-0.8390386415537432,220948.0,170698.0
mul,1,weight_l2,1,5800.0,800.0,5000.0,0.13793103448275862,-0.9374955237506398,-0.8784312959343469,114.38959740759597,36.05476542760175
mul,1,w_eff_rank,1,5800.0,600.0,5200.0,0.10344827586206896,-0.9224419562219642,-0.9032484885405134,63.78456825680203,9.307778795560202
mul,1,act_eff_rank,1,5800.0,6400.0,-600.0,1.103448275862069,-0.8703168157850271,-0.8195512899471676,25.92912483215332,11.824690500895182
mul,1,act_sparsity,1,5800.0,200.0,5600.0,0.034482758620689655,-0.6056249200724805,-0.4783392221933653,0.4892311096191406,0.43913904825846356
mul,1,act_kurtosis,1,5800.0,1200.0,4600.0,0.20689655172413793,0.361480278889017,0.5972022205057756,2.879946231842041,5.024626890818278
mul,1,gzip_bytes,1,5800.0,5400.0,400.0,0.9310344827586207,-0.8912750154046918,-0.8251635439613726,220992.0,165465.0
mul,2,weight_l2,1,6600.0,800.0,5800.0,0.12121212121212122,-0.9511736940553986,-0.9587767605821463,113.35139699640273,37.125515945200306
mul,2,w_eff_rank,1,6600.0,600.0,6000.0,0.09090909090909091,-0.966062112382281,-0.9647486663234393,63.74910052617391,9.219601441312719
mul,2,act_eff_rank,1,6600.0,6000.0,600.0,0.9090909090909091,-0.8348392620284405,-0.867673432571359,24.894638061523438,12.223599751790365
mul,2,act_sparsity,1,6600.0,200.0,6400.0,0.030303030303030304,-0.5917186429886039,-0.5451269916294011,0.49037933349609375,0.44852574666341144
mul,2,act_kurtosis,1,6600.0,200.0,6400.0,0.030303030303030304,-0.002538283353723509,0.4627909294941288,2.1548357009887695,2.688068707784017
mul,2,gzip_bytes,1,6600.0,5800.0,800.0,0.8787878787878788,-0.9631286094341368,-0.9438615132668398,221054.0,165561.66666666666
mul,3,weight_l2,1,7800.0,1000.0,6800.0,0.1282051282051282,-0.940157255378805,-0.9159997963527516,113.92189549019639,33.44798708908403
mul,3,w_eff_rank,1,7800.0,600.0,7200.0,0.07692307692307693,-0.980987181440067,-0.9809553224522255,63.76785861121284,9.092736765190407
mul,3,act_eff_rank,1,7800.0,6200.0,1600.0,0.7948717948717948,-0.9123644001646194,-0.8806595339394123,26.313705444335938,13.115042686462402
mul,3,act_sparsity,1,7800.0,200.0,7600.0,0.02564102564102564,-0.40662246693454057,-0.2281334627943407,0.5142135620117188,0.4023857116699219
mul,3,act_kurtosis,1,7800.0,1000.0,6800.0,0.1282051282051282,0.49838500096750027,0.7347803771824235,1.3185806274414062,4.057527383168538
mul,3,gzip_bytes,1,7800.0,7000.0,800.0,0.8974358974358975,-0.9824334159874115,-0.9770561341299131,220997.0,164691.33333333334
mul,4,weight_l2,1,7000.0,1000.0,6000.0,0.14285714285714285,-0.9667818683884409,-0.9516789116068987,113.40920265057522,33.85125566113161
mul,4,w_eff_rank,1,7000.0,600.0,6400.0,0.08571428571428572,-0.9688069033869594,-0.9538071536753449,63.6978394985199,7.721415638923645
mul,4,act_eff_rank,1,7000.0,6200.0,800.0,0.8857142857142857,-0.9150142183731229,-0.8738690917408245,24.796382904052734,11.008471171061197
mul,4,act_sparsity,1,7000.0,200.0,6800.0,0.02857142857142857,-0.718822795697509,-0.6515322877720796,0.5174598693847656,0.4361839294433594
mul,4,act_kurtosis,1,7000.0,11600.0,-4600.0,1.6571428571428573,0.17219260365061853,0.6802958017880507,2.2382593154907227,1.3667151133219402
mul,4,gzip_bytes,1,7000.0,6800.0,200.0,0.9714285714285714,-0.9438817385647692,-0.9162727026500195,220878.0,165981.0
parity,0,weight_l2,1,6200.0,200.0,6000.0,0.03225806451612903,-0.8557578837628679,-0.83670797853345,9.379252119421459,15.521282185332808
parity,0,w_eff_rank,1,6200.0,10200.0,-4000.0,1.6451612903225807,-0.9943974786022084,-0.9923798102983747,14.355168104171753,3.538208615779877
parity,0,act_eff_rank,1,6200.0,8000.0,-1800.0,1.2903225806451613,-0.9944325609508666,-0.9927996938634859,39.97157287597656,6.875153636932373
parity,0,act_sparsity,1,6200.0,nan,nan,nan,-0.7201572317836329,-0.6878977448796467,0.500457763671875,0.5017684936523438
parity,0,act_kurtosis,1,6200.0,12800.0,-6600.0,2.064516129032258,0.9900706556010228,0.9874911659331531,2.2281999588012695,28.232418823242188
parity,0,gzip_bytes,1,6200.0,5000.0,1200.0,0.8064516129032258,-0.9958182900765739,-0.9948653330574869,8473.0,5694.8
parity,1,weight_l2,1,7400.0,200.0,7200.0,0.02702702702702703,-0.8560802491832257,-0.8388454361747035,9.429051406171544,17.356900724812355
parity,1,w_eff_rank,1,7400.0,10600.0,-3200.0,1.4324324324324325,-0.997460384095387,-0.9964894332883272,14.445976257324219,5.64665424823761
parity,1,act_eff_rank,1,7400.0,9200.0,-1800.0,1.2432432432432432,-0.9985263269385365,-0.9979667861579078,40.79331588745117,13.219793128967286
parity,1,act_sparsity,1,7400.0,nan,nan,nan,-0.515408522574292,-0.3785881133390425,0.5070343017578125,0.49993896484375
parity,1,act_kurtosis,1,7400.0,12200.0,-4800.0,1.6486486486486487,0.9914841143846141,0.9891026689404245,2.4108920097351074,22.509099578857423
parity,1,gzip_bytes,1,7400.0,4800.0,2600.0,0.6486486486486487,-0.9990622076893552,-0.998858416022456,8473.0,6125.0
parity,2,weight_l2,1,16400.0,400.0,16000.0,0.024390243902439025,-0.8111627855583566,-0.7747497054024843,9.40730159217247,20.650416542505972
parity,2,w_eff_rank,1,16400.0,14200.0,2200.0,0.8658536585365854,-0.9912024488612217,-0.9899658317152159,14.438867390155792,11.05574095249176
parity,2,act_eff_rank,1,16400.0,11000.0,5400.0,0.6707317073170732,-0.9954541619244687,-0.9946658511126445,40.373390197753906,26.61806869506836
parity,2,act_sparsity,1,16400.0,nan,nan,nan,0.8209011302768052,0.7846223303936953,0.5045013427734375,0.5050613403320312
parity,2,act_kurtosis,1,16400.0,11000.0,5400.0,0.6707317073170732,0.9956871325032767,0.9943152147448999,2.361509323120117,10.325008583068847
parity,2,gzip_bytes,1,16400.0,3800.0,12600.0,0.23170731707317074,-0.9987390433415969,-0.9995859491902841,8473.0,6575.6
parity,3,weight_l2,1,5200.0,200.0,5000.0,0.038461538461538464,-0.8387140277953348,-0.8112319738331081,9.442132492790838,15.318352238624295
parity,3,w_eff_rank,1,5200.0,9400.0,-4200.0,1.8076923076923077,-0.9714456209638217,-0.9624298849686058,14.516830325126648,3.4350144028663636
parity,3,act_eff_rank,1,5200.0,9200.0,-4000.0,1.7692307692307692,-0.9720501707230107,-0.9636664248265939,40.79671859741211,10.49753303527832
parity,3,act_sparsity,1,5200.0,400.0,4800.0,0.07692307692307693,0.529481750630355,0.43933124298307524,0.5027999877929688,0.512896728515625
parity,3,act_kurtosis,1,5200.0,13400.0,-8200.0,2.576923076923077,0.964244894624174,0.9538050194591386,2.2795324325561523,40.24314193725586
parity,3,gzip_bytes,1,5200.0,5200.0,0.0,1.0,-0.9728758697190383,-0.9647519958482825,8473.0,5652.4
parity,4,weight_l2,1,5600.0,200.0,5400.0,0.03571428571428571,-0.8358202091942178,-0.8033333113915468,9.368625790043492,14.557557308330473
parity,4,w_eff_rank,1,5600.0,9000.0,-3400.0,1.6071428571428572,-0.9652798532186446,-0.9554709060551753,14.538027226924896,2.6264063000679014
parity,4,act_eff_rank,1,5600.0,7600.0,-2000.0,1.3571428571428572,-0.9658345424534737,-0.9560638525779669,40.47455596923828,5.478436470031738
parity,4,act_sparsity,1,5600.0,1800.0,3800.0,0.32142857142857145,-0.1175355368383377,-0.29771932063035483,0.5036392211914062,0.5145965576171875
parity,4,act_kurtosis,1,5600.0,11200.0,-5600.0,2.0,0.9577191977786935,0.9456716845732513,2.261868953704834,33.57188491821289
parity,4,gzip_bytes,1,5600.0,6000.0,-400.0,1.0714285714285714,-0.9658855890169152,-0.9561454383996918,8473.0,5370.0
